epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,9833.28,0.74313,0.52595,1.10094,0.83777,0.72323,0.79376,0.55551,1.11699,0.82082,1.4606,0.00307,0.00307,0.00307
107,9926.97,0.73827,0.52695,1.09764,0.85594,0.71725,0.79753,0.55592,1.12141,0.81087,1.46193,0.003004,0.003004,0.003004
108,10021.2,0.74169,0.52295,1.09453,0.87001,0.70744,0.79704,0.55577,1.12129,0.80244,1.46528,0.002938,0.002938,0.002938
109,10114.6,0.72823,0.50744,1.08834,0.86058,0.69951,0.79442,0.55558,1.12239,0.82805,1.46846,0.002872,0.002872,0.002872
110,10206.9,0.727,0.51196,1.08571,0.8465,0.71403,0.7972,0.55814,1.12187,0.84319,1.46914,0.002806,0.002806,0.002806
111,10299.5,0.71756,0.50458,1.07596,0.84459,0.72103,0.79773,0.55877,1.12894,0.83765,1.47915,0.00274,0.00274,0.00274
112,10392,0.7122,0.5037,1.08324,0.8399,0.72086,0.79487,0.55669,1.12685,0.83798,1.4794,0.002674,0.002674,0.002674
113,10484.4,0.71537,0.49879,1.08154,0.84165,0.72254,0.79618,0.55766,1.12611,0.83532,1.48175,0.002608,0.002608,0.002608
114,10576.7,0.70966,0.49662,1.07298,0.8536,0.71976,0.79774,0.55969,1.12309,0.83775,1.47805,0.002542,0.002542,0.002542
115,10669.2,0.70174,0.49032,1.07655,0.84244,0.72556,0.79876,0.55884,1.12459,0.82834,1.47408,0.002476,0.002476,0.002476
116,10761.9,0.69663,0.4845,1.06805,0.84431,0.72329,0.7975,0.55649,1.12368,0.82047,1.47568,0.00241,0.00241,0.00241
117,10854.2,0.69399,0.48881,1.07092,0.85033,0.71687,0.79719,0.55578,1.12692,0.81502,1.48051,0.002344,0.002344,0.002344
118,10946.5,0.69302,0.48049,1.06605,0.84464,0.72242,0.79613,0.55518,1.12499,0.81031,1.47999,0.002278,0.002278,0.002278
119,11038.9,0.6901,0.48249,1.06939,0.84744,0.72134,0.7972,0.55709,1.12263,0.80798,1.48184,0.002212,0.002212,0.002212
120,11131,0.67403,0.46739,1.0621,0.84028,0.72858,0.80072,0.56067,1.1165,0.81415,1.47383,0.002146,0.002146,0.002146
121,11223.3,0.68063,0.4718,1.06397,0.8419,0.72568,0.80145,0.55953,1.11832,0.81174,1.47682,0.00208,0.00208,0.00208
122,11315.6,0.67453,0.46483,1.06253,0.84702,0.72112,0.80046,0.55962,1.11877,0.81088,1.48081,0.002014,0.002014,0.002014
123,11408.2,0.67244,0.46647,1.06102,0.84328,0.7231,0.79562,0.55657,1.1221,0.81463,1.48509,0.001948,0.001948,0.001948
124,11500.7,0.66401,0.46169,1.05509,0.84204,0.72556,0.79537,0.55701,1.1282,0.81596,1.49466,0.001882,0.001882,0.001882
125,11593,0.66781,0.46058,1.05287,0.84695,0.71865,0.79417,0.55721,1.13207,0.82313,1.50051,0.001816,0.001816,0.001816
126,11685.3,0.66672,0.4629,1.05239,0.85012,0.71385,0.79521,0.55597,1.13097,0.82396,1.4998,0.00175,0.00175,0.00175
127,11777.6,0.65102,0.45117,1.04715,0.85242,0.70862,0.79536,0.55702,1.13158,0.82979,1.50378,0.001684,0.001684,0.001684
128,11869.6,0.64581,0.44798,1.04703,0.86657,0.69724,0.79412,0.55821,1.13312,0.83616,1.50687,0.001618,0.001618,0.001618
129,11961.8,0.6412,0.44358,1.04416,0.84533,0.71159,0.79502,0.55776,1.13609,0.83512,1.51216,0.001552,0.001552,0.001552
130,12054.2,0.63967,0.44464,1.04683,0.86105,0.69947,0.79396,0.55687,1.1371,0.84023,1.51609,0.001486,0.001486,0.001486
131,12146.7,0.6477,0.44924,1.04437,0.82333,0.7248,0.79519,0.55829,1.13677,0.84357,1.51883,0.00142,0.00142,0.00142
132,12238.7,0.63098,0.43442,1.03577,0.82621,0.72367,0.79485,0.55885,1.13649,0.84613,1.5218,0.001354,0.001354,0.001354
133,12331,0.62163,0.43878,1.03901,0.82482,0.72339,0.79531,0.55948,1.13655,0.8467,1.52432,0.001288,0.001288,0.001288
134,12423.6,0.6234,0.43268,1.03784,0.82944,0.72065,0.79721,0.5605,1.13877,0.84536,1.52987,0.001222,0.001222,0.001222
135,12515.8,0.62446,0.4341,1.03871,0.83183,0.71701,0.79764,0.5611,1.13635,0.84324,1.52999,0.001156,0.001156,0.001156
136,12608.2,0.62203,0.42901,1.03764,0.86795,0.69725,0.7971,0.56015,1.13506,0.84184,1.53039,0.00109,0.00109,0.00109
137,12700.5,0.61375,0.42103,1.02751,0.86969,0.69573,0.79725,0.56021,1.13492,0.84363,1.52967,0.001024,0.001024,0.001024
138,12793,0.6157,0.42051,1.03001,0.86905,0.69648,0.79688,0.56051,1.13503,0.84729,1.53143,0.000958,0.000958,0.000958
139,12885.5,0.60225,0.4164,1.02229,0.84949,0.7131,0.79717,0.56052,1.13737,0.84722,1.53527,0.000892,0.000892,0.000892
140,12977.7,0.60599,0.42123,1.02634,0.85192,0.71197,0.79627,0.55994,1.13896,0.84363,1.53823,0.000826,0.000826,0.000826
141,13082.1,0.51022,0.31204,0.94024,0.85298,0.71046,0.7954,0.5591,1.13683,0.84894,1.53838,0.00076,0.00076,0.00076
142,13174.4,0.49601,0.304,0.93431,0.85614,0.70781,0.79319,0.55709,1.1375,0.85118,1.54056,0.000694,0.000694,0.000694
143,13266.8,0.48108,0.29507,0.92973,0.84349,0.71411,0.79213,0.55615,1.13711,0.85177,1.54039,0.000628,0.000628,0.000628
144,13359,0.47406,0.289,0.92425,0.84637,0.71008,0.79244,0.55579,1.13632,0.85862,1.54072,0.000562,0.000562,0.000562
145,13451.1,0.47561,0.2906,0.92526,0.85517,0.70438,0.79109,0.55589,1.13695,0.85932,1.54473,0.000496,0.000496,0.000496
146,13543.4,0.46472,0.28309,0.91816,0.86031,0.70215,0.79142,0.55577,1.13856,0.86111,1.54811,0.00043,0.00043,0.00043
147,13635.6,0.45332,0.2838,0.91482,0.86384,0.69935,0.79229,0.55595,1.13978,0.86035,1.54866,0.000364,0.000364,0.000364
148,13727.6,0.45793,0.28132,0.91855,0.83939,0.71618,0.79277,0.55756,1.13863,0.86279,1.54944,0.000298,0.000298,0.000298
149,13820,0.45139,0.27627,0.90921,0.83437,0.71881,0.79343,0.55808,1.13854,0.86196,1.55042,0.000232,0.000232,0.000232
150,13912.2,0.44989,0.27818,0.91494,0.83436,0.71838,0.79443,0.55817,1.13823,0.86341,1.55114,0.000166,0.000166,0.000166
